# This file contains a set of usable item effects.
# You must set 32 different items.
#-----------------------------------------------------------------------------------------------------------------------------------------------
#Targets;DefaultAlly;Display;AnimationId;Dead;DefaultDead;ScriptId;Power;Rate;Element;Status;
#UInt8;Bit;UInt8;Int16;Bit;Bit;UInt8;UInt8;UInt8;UInt8;UInt32;
#-----------------------------------------------------------------------------------------------------------------------------------------------
0;1;1;292;0;0;74;12;0;0;0;# 224 - Garnet
0;1;1;292;0;0;74;20;0;0;0;# 225 - Amethyst
0;1;1;292;0;0;74;28;0;0;0;# 226 - Aquamarine
0;1;1;292;0;0;74;36;0;0;0;# 227 - Diamond
0;1;1;292;0;0;74;44;0;0;0;# 228 - Emerald
0;1;1;292;0;0;74;52;0;0;0;# 229 - Moonstone
0;1;1;292;0;0;74;60;0;0;0;# 230 - Ruby
0;1;1;292;0;0;74;68;0;0;0;# 231 - Peridot
0;1;1;292;0;0;74;76;0;0;0;# 232 - Sapphire
0;1;1;292;0;0;74;84;0;0;0;# 233 - Opal
0;1;1;292;0;0;74;92;0;0;0;# 234 - Topaz
0;1;1;292;0;0;74;100;0;0;0;# 235 - Lapis Lazuli
0;1;1;8;0;0;69;10;0;0;0;# 236 - Potion
0;1;1;141;0;0;69;30;0;0;0;# 237 - Hi-Potion
0;1;2;278;0;0;70;10;0;0;0;# 238 - Ether
0;1;1;40;0;0;71;0;0;0;0;# 239 - Elixir
0;1;1;17;1;1;72;0;0;0;256;# 240 - Phoenix Down
0;1;3;279;0;0;73;0;0;0;8;# 241 - Echo Screen
0;1;3;13;1;0;62;0;0;0;2147483649;# 242 - Soft
0;1;3;12;0;0;73;0;0;0;65538;# 243 - Antidote
0;1;3;280;0;0;73;0;0;0;16;# 244 - Eye Drops
0;1;3;281;1;0;73;0;0;0;64;# 245 - Magic Tag
0;1;3;282;0;0;73;0;0;0;4;# 246 - Vaccine
0;1;3;11;0;0;73;0;0;0;2415988762;# 247 - Remedy
0;1;3;283;0;0;73;0;0;0;32;# 248 - Annoyntment
0;1;1;17;1;1;72;0;0;0;256;# 249 - Phoenix Pinion
0;0;0;287;0;0;77;0;0;0;0;# 250 - Dark Matter
0;1;3;289;0;0;73;0;0;0;2048;# 251 - Gysahl Greens
0;0;0;288;0;0;75;30;0;0;0;# 252 - Dead Pepper
0;1;1;290;0;0;76;0;50;0;65560;# 253 - Tent
0;1;1;292;0;0;74;4;0;0;0;# 254 - Ore
0;0;0;0;0;0;0;0;0;0;0;# 255 - open 255
