# This file contains a set of game items.
# You must set 256 different items.
# ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Price;GraphicsId;ColorId;Quality;BonusId;AbilityIds;Weapon;Armlet;Helmet;Armor;Accessory;Item;Gem;Usable;Order;Zidane;Vivi;Garnet;Steiner;Freya;Quina;Eiko;Amarant;Cinna;Marcus;Blank;Beatrix;
# UInt16;UInt8;UInt8;UInt8;UInt8;UInt8[];UInt8;Bit;Bit;Bit;Bit;Bit;Bit;Bit;UInt8;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;
# ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
250;0;0;1;0;0, 0, 0;1;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;1;0;0;0;# 000 - Hammer
320;1;0;1;0;101, 0, 0;1;0;0;0;0;0;0;0;22;1;0;0;0;0;0;0;0;0;0;0;0;# 001 - Dagger
500;1;12;2;0;102, 101, 0;1;0;0;0;0;0;0;0;23;1;0;0;0;0;0;0;0;0;0;0;0;# 002 - Mage Masher
950;1;0;3;0;254, 0, 0;1;0;0;0;0;0;0;0;24;1;0;0;0;0;0;0;0;0;0;0;0;# 003 - Mythril Dagger
2300;1;6;6;0;105, 107, 0;1;0;0;0;0;0;0;0;25;1;0;0;0;0;0;0;0;0;0;0;0;# 004 - Gladius
6000;1;0;9;0;101, 0, 0;1;0;0;0;0;0;0;0;26;1;0;0;0;0;0;0;0;0;0;0;0;# 005 - Zorlin Shape
17000;1;0;13;149;102, 0, 0;1;0;0;0;0;0;0;0;27;1;0;0;0;0;0;0;0;0;0;0;0;# 006 - Orichalcon
1300;2;0;4;0;103, 230, 0;1;0;0;0;0;0;0;0;28;1;0;0;0;0;0;0;0;0;0;0;0;# 007 - Butterfly Sword
1700;2;0;5;0;104, 0, 0;1;0;0;0;0;0;0;0;29;1;0;0;0;0;0;0;0;0;0;0;0;# 008 - The Ogre
2800;2;0;7;0;106, 107, 0;1;0;0;0;0;0;0;0;30;1;0;0;0;0;0;0;0;0;0;0;0;# 009 - Exploda
3800;2;0;8;0;107, 0, 0;1;0;0;0;0;0;0;0;31;1;0;0;0;0;0;0;0;0;0;0;0;# 010 - Rune Tooth
7000;2;0;10;0;108, 0, 0;1;0;0;0;0;0;0;0;32;1;0;0;0;0;0;0;0;0;0;0;0;# 011 - Angel Bless
9500;2;0;11;0;105, 0, 0;1;0;0;0;0;0;0;0;33;1;0;0;0;0;0;0;0;0;0;0;0;# 012 - Sargatanas
13000;2;0;12;150;106, 0, 0;1;0;0;0;0;0;0;0;34;1;0;0;0;0;0;0;0;0;0;0;0;# 013 - Masamune
30000;2;0;14;0;107, 108, 0;1;0;0;0;0;0;0;0;35;1;0;0;0;0;0;0;0;0;0;0;0;# 014 - The Tower
