# This file contains a set of item shops.
# You must set at least 32 different items.
# -----------------------------------------------
# Comment;Id;Items
# ;Int32;Int32[]
# -----------------------------------------------
Shop 0000;0;1, 2, 16, 17, 57, 70, 88, 89, 102, 112, 114, 136, 137, 149, 150, 177;# Shop 0000
Shop 0001;1;1, 2, 3, 17, 31, 57, 79, 89, 90, 102, 103, 115, 116, 138, 151, 178;# Shop 0001
Shop 0002;2;80, 90, 104, 115, 116, 117, 139, 152, 178, 236, 240, 241, 242, 243, 244, 253;# Shop 0002
Shop 0003;3;51, 58, 90, 103, 104, 115, 116, 117, 136, 138, 139, 152, 178, 236, 240, 241, 242, 243, 244, 253;# Shop 0003
Shop 0004;4;1, 2, 3, 18, 32, 51, 58, 71, 72, 73, 79, 80, 89, 90, 91, 104, 117, 118, 139, 150, 151, 152, 153, 178, 179;# Shop 0004
Shop 0005;5;33, 52, 58, 71, 72, 80, 91, 92, 104, 105, 117, 118, 119, 140, 153, 154, 179, 180;# Shop 0005
Shop 0006;6;1, 2, 3, 20, 33, 52, 59, 71, 72, 73, 89, 90, 91, 92, 104, 105, 116, 117, 118, 119, 140, 150, 151, 152, 153, 154, 179, 180;# Shop 0006
Shop 0007;7;20, 33, 52, 59, 92, 105, 118, 119, 140, 153, 154, 155, 180, 236, 240, 241, 242, 243, 244, 247, 248, 253;# Shop 0007
Shop 0008;8;42, 52, 59, 71, 72, 73, 74, 81, 92, 93, 120, 121, 155, 156;# Shop 0008
Shop 0009;9;2, 3, 4, 59, 70, 71, 72, 73, 74, 81, 89, 90, 91, 92, 93, 112, 114, 115, 116, 117, 118, 119, 120, 121, 150, 151, 152, 153, 154, 155, 156, 157;# Shop 0009
Shop 0010;10;1, 2, 3, 4, 42, 52, 64, 85, 93, 120, 121, 155, 156, 157, 236, 240, 241, 242, 243, 244, 245, 248, 253;# Shop 0010
Shop 0011;11;3, 4, 20, 33, 34, 41, 42, 59, 60, 65, 71, 72, 73, 74, 85, 90, 91, 92, 93, 104, 105, 120, 121, 122, 139, 140, 141, 156, 157, 158, 180, 181;# Shop 0011
Shop 0012;12;1, 2, 3, 4, 20, 21, 33, 34, 41, 42, 52, 59, 60, 65, 74, 93, 104, 105, 120, 121, 122, 140, 141, 156, 157, 158, 178, 180, 181;# Shop 0012
Shop 0013;13;21, 33, 34, 42, 53, 60, 65, 75, 81, 85, 94, 105, 122, 123, 124, 141, 156, 157, 158, 180, 181, 236, 237, 240, 241, 242, 243, 244, 245, 247, 248, 253;# Shop 0013
Shop 0014;14;22, 35, 43, 53, 60, 66, 75, 82, 85, 94, 95, 105, 106, 123, 124, 125, 141, 142, 158, 159, 181, 182, 237, 240, 242, 243, 244, 245, 247, 248, 253;# Shop 0014
Shop 0015;15;4, 5, 22, 23, 36, 44, 53, 61, 67, 75, 76, 82, 86, 95, 96, 97, 106, 107, 126, 127, 142, 159, 160, 182, 183, 237, 240, 245, 246, 247, 248, 253;# Shop 0015
Shop 0016;16;2, 17, 32, 42, 52, 58, 65, 74, 80, 86, 96, 97, 107, 127, 128, 142, 143, 160, 161, 183, 184, 236, 237, 240, 241, 242, 243, 244, 245, 246, 248, 253;# Shop 0016
Shop 0017;17;2, 3, 4, 5, 24, 37, 46, 54, 61, 67, 76, 86, 91, 92, 93, 94, 95, 96, 97, 107, 108, 120, 122, 128, 129, 143, 161, 162, 184, 185;# Shop 0017
Shop 0018;18;1, 2, 3, 4, 5, 6, 25, 38, 47, 54, 83, 86, 99, 108, 129, 130, 131, 144, 162, 163, 186, 237, 240, 241, 242, 243, 244, 246, 247, 248, 253;# Shop 0018
Shop 0019;19;6, 25, 27, 38, 47, 48, 54, 79, 83, 86, 93, 95, 99, 100, 108, 110, 119, 120, 128, 129, 130, 131, 144, 145, 162, 163, 164, 186, 187, 188;# Shop 0019
Shop 0020;20;62, 68, 77, 132, 133, 165;# Shop 0020
Shop 0021;21;3, 18, 32, 43, 54, 58, 81, 92, 104, 140, 154, 180, 236, 237, 240, 241, 242, 243, 244, 245, 246, 247, 248, 253;# Shop 0021
Shop 0022;22;22, 35, 43, 53, 60, 66, 75, 82, 85, 86, 94, 95, 106, 123, 124, 125, 142, 158, 159, 182, 236, 237, 240, 241, 242, 243, 245, 247, 248, 253;# Shop 0022
Shop 0023;23;;# Shop 0023
Shop 0024;24;;# Shop 0024
Shop 0025;25;236, 240, 243, 244, 253;# Shop 0025
Shop 0026;26;236, 240, 241, 242, 243, 244, 253;# Shop 0026
Shop 0027;27;236, 240, 241, 242, 243, 244, 248, 253;# Shop 0027
Shop 0028;28;236, 237, 240, 241, 242, 243, 244, 247, 248, 253;# Shop 0028
Shop 0029;29;236, 237, 240, 241, 242, 243, 244, 245, 247, 248, 253;# Shop 0029
Shop 0030;30;236, 237, 240, 241, 242, 243, 244, 245, 246, 247, 248, 253;# Shop 0030
Shop 0031;31;236, 237, 240, 241, 242, 243, 244, 245, 246, 247, 248, 253;# Shop 0031
