# This file contains a set of bonuses of equipment.
# You can set any number of different items.
# 1-Fire 2-Ice 4-Thunder 8-Earth
# 16-Water 32-Wind 64-Holy 128-Dark
# 7-Fire/Ice/Thunder 57-Fire/Earth/Water/Wind 192-Holy/Dark 255-All
# -----------------------------------------------
# Comment;Id;Dexterity;Strength;Magic;Will;AttackElement;GuardElement;AbsorbElement;HalfElement;WeakElement
#;Int32;Byte;Byte;Byte;Byte;Byte;Byte;Byte;Byte;Byte
# -----------------------------------------------
Bonus 0000 # Empty;0;0;0;0;0;0;0;0;0;0
Bonus 0001 # Wrist;1;0;0;0;0;0;0;0;0;0
Bonus 0002 # Leather Wrist;2;0;0;0;1;0;0;0;0;0
Bonus 0003 # Glass Armlet;3;0;0;0;0;0;0;0;16;0
Bonus 0004 # Bone Wrist;4;0;1;0;0;8;0;0;0;0
Bonus 0005 # Mythril Armlet;5;0;0;0;1;0;0;0;0;0
Bonus 0006 # Magic Armlet;6;0;0;2;0;0;0;0;0;0
Bonus 0007 # Chimera Armlet;7;0;0;0;0;0;64;0;0;0
Bonus 0008 # Egoist’s Armlet;8;0;0;0;0;0;128;0;0;0
Bonus 0009 # N-Kai Armlet;9;0;0;0;2;0;0;0;0;0
Bonus 0010 # Jade Armlet;10;0;0;0;0;64;0;0;0;0
Bonus 0011 # Thief Gloves;11;1;0;0;0;0;0;0;0;0
Bonus 0012 # Dragon Wrist;12;0;0;0;1;0;0;0;128;0
Bonus 0013 # Power Wrist;13;0;2;0;0;0;0;0;0;0
Bonus 0014 # Bracer;14;0;1;0;0;32;0;0;0;0
Bonus 0015 # Bronze Gloves;15;0;0;0;1;0;0;0;0;0
Bonus 0016 # Silver Gloves;16;0;0;0;0;0;0;0;2;0
Bonus 0017 # Mythril Gloves;17;0;0;0;1;0;0;0;0;0
Bonus 0018 # Thunder Gloves;18;0;0;0;0;4;0;0;4;0
Bonus 0019 # Diamond Gloves;19;0;0;0;0;0;16;0;0;0
Bonus 0020 # Venetia Shield;20;0;1;1;0;0;0;0;0;0
Bonus 0021 # Defense Gloves;21;0;0;0;0;0;0;0;7;0
Bonus 0022 # Genji Gloves;22;0;0;2;0;0;0;0;0;0
Bonus 0023 # Aegis Gloves;23;0;0;0;0;0;1;0;0;0
Bonus 0024 # Gauntlets;24;1;0;0;0;0;0;0;57;0
Bonus 0025 # Leather Hat;25;0;0;0;0;0;0;0;0;0
Bonus 0026 # Straw Hat;26;0;0;0;0;0;0;0;0;255
Bonus 0027 # Feather Hat;27;0;0;0;1;32;0;0;0;0
Bonus 0028 # Steepled Hat;28;0;1;0;0;0;0;0;0;0
Bonus 0029 # Headgear;29;0;0;0;0;0;0;0;16;0
Bonus 0030 # Magus Hat;30;0;0;0;0;2;0;0;0;0
Bonus 0031 # Bandana;31;1;0;0;1;0;0;0;0;0
Bonus 0032 # Mage’s Hat;32;0;0;1;0;192;0;0;0;0
Bonus 0033 # Lamia’s Tiara;33;0;0;1;1;0;0;0;32;0
Bonus 0034 # Ritual Hat;34;0;1;0;0;0;0;0;0;0
Bonus 0035 # Twist Headband;35;0;1;0;0;8;0;0;0;0
Bonus 0036 # Mantra Band;36;0;0;1;1;0;0;0;0;0
Bonus 0037 # Dark Hat;37;0;0;0;0;0;2;0;0;0
Bonus 0038 # Green Beret;38;1;1;0;0;0;0;0;0;0
Bonus 0039 # Black Hood;39;0;0;0;0;0;0;0;21;0
Bonus 0040 # Red Hat;40;0;0;0;0;1;0;0;0;0
Bonus 0041 # Golden Hairpin;41;0;0;1;0;16;0;0;0;0
Bonus 0042 # Coronet;42;0;0;0;0;0;32;0;0;0
Bonus 0043 # Flash Hat;43;1;0;0;0;68;0;0;0;0
Bonus 0044 # Adaman Hat;44;0;0;0;0;0;4;0;0;0
Bonus 0045 # Thief Hat;45;2;0;0;0;0;0;0;0;0
Bonus 0046 # Holy Miter;46;0;0;1;2;0;0;0;0;0
Bonus 0047 # Golden Skullcap;47;0;0;0;0;16;0;0;8;0
Bonus 0048 # Circlet;48;0;0;0;0;0;8;0;0;0
Bonus 0049 # Rubber Helm;49;0;0;0;0;0;0;0;4;0
Bonus 0050 # Bronze Helm;50;0;0;0;0;0;0;0;16;0
Bonus 0051 # Iron Helm;51;0;0;0;1;0;0;0;0;0
Bonus 0052 # Barbut;52;0;0;0;2;0;0;0;0;0
Bonus 0053 # Mythril Helm;53;0;0;0;1;64;0;0;0;0
Bonus 0054 # Gold Helm;54;0;0;1;0;0;0;0;0;0
Bonus 0055 # Cross Helm;55;0;1;0;0;0;0;0;0;0
Bonus 0056 # Diamond Helm;56;0;0;0;1;0;0;0;0;0
Bonus 0057 # Platinum Helm;57;0;0;0;0;0;0;0;2;0
Bonus 0058 # Kaiser Helm;58;0;1;1;0;0;0;0;0;0
Bonus 0059 # Genji Helmet;59;0;0;2;0;0;0;0;0;0
Bonus 0060 # Grand Helm;60;1;0;0;0;0;0;0;0;0
