#! UseShopList
# This file contains a set of game items that can be synthesized.
# You can set any number of different items.
# -----------------------------------------------
# Comment;Id;Shops;Price;Result;Ingredients
# ;Int32;Int32[];UInt32;Int32;Int32[]
# -----------------------------------------------
Butterfly Sword;0;32, 33, 34, 35, 38;300;7;1, 2
The Ogre;1;32, 33, 34, 35, 36, 38;700;8;2, 2
Exploda;2;34, 35, 36, 38;1000;9;2, 3
Rune Tooth;3;35, 36, 38;2000;10;3, 3
Angel Bless;4;36, 37, 38;9000;11;3, 4
Sargatanas;5;37, 38;12000;12;4, 5
Masamune;6;38;16000;13;5, 6
Duel Claws;7;38;16000;49;45, 46
Priest’s Racket;8;38;11000;55;51, 218
Bracer;9;38;24000;101;197, 107
Gauntlets;10;38;8000;111;104, 99
Golden Skullcap;11;38;15000;134;141, 128
Circlet;12;38;20000;135;129, 204
Grand Helm;13;38;20000;147;142, 200
Rubber Suit;14;38;20000;166;163, 95
Brave Suit;15;38;26000;167;154, 58
Cotton Robe;16;32, 33, 34, 35, 36, 37;1000;168;88, 115
Silk Robe;17;34, 35, 36, 37;2000;169;150, 118
Magician Robe;18;36, 37;3000;170;70, 156
Glutton’s Robe;19;37;6000;171;81, 168
White Robe;20;37;8000;172;161, 97
Black Robe;21;37;8000;173;161, 96
Light Robe;22;38;20000;174;170, 90
Robe of Lords;23;39;30000;175;172, 173
Tin Armour;24;39;50000;176;0, 254
Grand Armour;25;38;45000;191;18, 180
Desert Boots;26;32, 33, 34, 35, 36, 38;300;192;112, 149
Yellow Scarf;27;32, 33, 34, 35, 36, 38;400;212;114, 115
Glass Buckle;28;32, 33, 34, 35, 36, 38;500;202;90, 89
Germinas Boots;29;33, 34, 35, 36, 38;900;194;192, 79
Cachusha;30;33, 34, 35, 36, 37;1000;218;117, 136
Coral Ring;31;33, 34, 35, 36, 37;1200;206;73, 57
Gold Choker;32;33, 34, 35, 36, 38;1300;213;178, 242
Magician Shoes;33;34, 35, 36, 37;1500;193;194, 91
Barette;34;34, 35, 36, 37;1800;219;80, 139
Power Belt;35;34, 35, 36, 37;2000;200;202, 179
Madain’s Ring;36;35, 36, 37;3000;203;91, 59
Fairy Earrings;37;35, 36, 37;3200;214;93, 242
Extension;38;35, 36, 37;3500;220;120, 52
Reflect Ring;39;35, 36, 37;7000;205;199, 203
Anklet;40;36, 37;4000;199;213, 231
Feather Boots;41;36, 37;4000;196;193, 249
Black Belt;42;36, 37;4000;201;122, 157
Pearl Rouge;43;36, 37;5000;216;229, 239
Promist Ring;44;37;6000;207;94, 230
Battle Boots;45;37;6500;197;196, 87
Rebirth Ring;46;37;7000;208;227, 199
Angel Earrings;47;37;8000;215;214, 219
Running Shoes;48;38;12000;198;197, 228
Rosetta Ring;49;38;24000;204;203, 38
Protect Ring;50;39;40000;209;250, 208
Pumice;51;39;50000;211;210, 210
Garnet;52;37, 38, 39;350;224;254, 247
Amethyst;53;37, 38, 39;200;225;254, 248
Peridot;54;37, 38, 39;100;231;254, 242
Sapphire;55;37, 38, 39;200;232;254, 243
Opal;56;37, 38, 39;100;233;254, 236
Topaz;57;37, 38, 39;100;234;254, 244
Lapis Lazuli;58;38, 39;400;235;254, 252
Pumice Piece;59;39;25000;210;0, 211
Save the Queen;60;39;50000;26;31, 103
Phoenix Pinion;61;39;300;249;240, 251
Ether;62;39;500;238;241, 246
Thief Gloves;63;37;50000;98;92, 12
