# This file contains world map transport control parameters.
# ----------------------------------------------------------------------------------------------------------------------------------
# type;flg_gake;speed_move;speed_rotation;speed_updown;speed_roll;speed_rollback;flg_fly;flg_upcam;fetchdist;music;se;encount;radius;camrot;type_cam;pad2;limit0;limit1;
# Byte;Byte;Int16;Byte;Byte;SByte;SByte;Boolean;Boolean;Byte;Byte;Byte;Boolean;Int16;Boolean;Byte;UInt16;UInt32;UInt32;
# ----------------------------------------------------------------------------------------------------------------------------------
0;0;112;64;0;0;0;0;1;2;0;0;1;0;1;0;0;1074815;3640605951;# Walking
0;0;200;64;0;0;0;0;1;2;1;0;0;300;1;1;0;1074815;3640605951;# Yellow Chocobo
0;1;200;64;0;0;0;0;1;2;1;0;0;300;1;1;0;553150079;3640605951;# Light Blue Chocobo
0;1;200;64;0;0;0;0;1;2;1;0;0;300;1;1;0;553543295;3640605951;# Red Chocobo
0;1;200;64;0;0;0;0;1;2;1;0;0;300;1;1;0;603940479;3640605951;# Deep Blue Chocobo
0;1;200;64;0;0;0;0;1;2;1;0;0;300;1;1;0;603940479;3640605951;# Gold Chocobo (ground)
1;0;300;30;128;64;0;1;0;3;1;0;0;400;0;4;0;2147444351;3640605951;# Gold Chocobo (air)
2;0;240;36;0;0;0;0;1;3;0;24;0;560;0;2;0;39845888;0;# Blue Narciss
1;0;500;13;255;127;0;1;0;4;2;23;0;640;0;3;0;2147444351;3640605951;# Hilda Garde III
1;0;500;13;255;127;0;1;0;4;2;22;0;720;0;3;0;2147444351;3640605951;# Invincible
3;0;140;32;255;0;0;0;1;3;0;0;0;480;0;0;0;4294967295;4294967295;# ???
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;# ???
